n_past_tgt,decode_time_ms,do_defrag
193,12.510,0
200,11.817,0
204,11.779,0
209,11.759,0
214,11.635,0
218,11.977,0
222,12.681,0
228,12.404,0
231,11.935,0
237,11.579,0
241,12.219,0
242,11.883,0
245,11.607,0
248,12.799,0
252,12.546,0
256,12.168,0
263,12.582,0
265,12.521,0
270,12.503,0
276,12.181,0
285,12.076,0
293,11.752,0
299,12.750,0
304,11.970,0
309,11.855,0
313,11.938,0
319,12.386,0
324,12.163,0
330,12.070,0
335,12.658,0
343,11.866,0
348,12.055,0
354,12.075,0
355,11.702,0
362,12.546,0
368,12.014,0
372,14.668,0
379,12.324,0
384,11.918,0
388,11.646,0
392,12.234,0
397,11.706,0
408,12.679,0
412,12.075,0
417,11.928,0
422,12.545,0
423,12.149,0
429,11.641,0
433,12.099,0
442,12.151,0
448,11.799,0
453,12.071,0
455,11.703,0
456,11.712,0
462,11.684,0
466,12.322,0
471,11.813,0
472,11.785,0
477,11.778,0
478,11.905,0
489,12.014,0
494,11.990,0
495,11.965,0
499,12.349,0
501,11.981,0
503,11.888,0
510,11.747,0
11,19.951,0
15,10.746,0
19,20.990,0
21,22.612,0
22,11.362,0
28,11.529,0
33,18.519,0
36,12.338,0
39,23.302,0
44,11.758,0
48,12.139,0
52,11.814,0
57,11.301,0
62,11.390,0
63,11.218,0
64,11.350,0
65,11.346,0
68,23.738,0
73,11.543,0
78,12.681,0
82,11.962,0
85,11.988,0
90,11.778,0
93,12.307,0
95,11.710,0
98,11.512,0
105,12.426,0
110,12.938,0
114,12.684,0
120,13.008,0
124,12.217,0
130,11.887,0
137,11.883,0
142,11.838,0
147,11.720,0
150,12.140,0
152,11.823,0
156,11.595,0
158,11.725,0
162,11.954,0
165,12.392,0
169,12.370,0
172,11.910,0
177,12.336,0
180,12.941,0
184,12.518,0
190,12.411,0
194,11.837,0
198,11.531,0
201,12.159,0
208,11.932,0
212,11.775,0
217,11.658,0
222,11.598,0
224,11.904,0
228,11.954,0
233,11.848,0
238,11.727,0
242,12.221,0
249,13.084,0
255,11.403,0
259,11.854,0
262,12.415,0
264,11.914,0
266,11.738,0
267,11.446,0
272,11.926,0
278,11.495,0
286,12.016,0
287,11.813,0
292,12.121,0
297,12.332,0
301,11.755,0
303,12.533,0
308,12.017,0
312,11.822,0
315,12.595,0
318,12.204,0
323,11.528,0
324,11.535,0
328,11.972,0
331,12.279,0
335,12.559,0
338,12.059,0
343,11.890,0
348,11.894,0
354,12.252,0
361,12.007,0
364,12.117,0
368,12.553,0
373,12.066,0
379,12.013,0
385,12.438,0
388,12.000,0
390,11.942,0
396,11.832,0
405,12.037,0
411,12.404,0
412,11.736,0
416,11.560,0
418,12.193,0
423,11.919,0
429,11.631,0
430,11.454,0
435,11.349,0
440,11.549,0
446,11.898,0
448,12.674,0
453,11.829,0
456,11.723,0
463,11.841,0
468,12.214,0
472,12.074,0
477,12.165,0
482,12.633,0
486,12.489,0
489,12.530,0
496,12.599,0
506,12.223,0
509,12.533,0
11,21.406,0
13,22.450,0
16,39.087,0
21,12.757,0
36,11.585,0
37,12.319,0
39,12.274,0
41,11.953,0
46,12.088,0
49,12.762,0
51,12.104,0
56,12.456,0
61,24.188,0
64,12.237,0
67,12.371,0
72,12.434,0
74,12.707,0
79,12.245,0
83,12.736,0
86,17.747,0
89,12.336,0
94,12.369,0
98,12.196,0
101,12.558,0
106,12.843,0
107,12.573,0
109,12.561,0
114,11.646,0
121,11.423,0
125,12.068,0
130,12.685,0
136,12.232,0
137,11.991,0
140,11.840,0
141,12.136,0
146,13.346,0
154,12.641,0
160,12.224,0
165,12.673,0
170,11.876,0
179,11.921,0
183,11.543,0
189,11.680,0
193,12.729,0
198,13.013,0
203,12.620,0
210,12.047,0
218,11.933,0
221,12.045,0
226,12.752,0
232,12.378,0
235,11.852,0
239,11.917,0
248,11.719,0
249,11.914,0
255,11.989,0
259,12.585,0
264,11.628,0
270,12.072,0
271,12.385,0
273,12.228,0
274,11.557,0
278,12.054,0
284,12.267,0
287,12.198,0
291,12.714,0
296,12.336,0
300,11.824,0
305,12.253,0
306,12.247,0
312,11.941,0
314,11.729,0
321,12.303,0
323,12.077,0
325,12.107,0
329,11.676,0
333,12.303,0
340,11.779,0
343,12.624,0
344,12.593,0
349,12.184,0
352,12.708,0
357,12.297,0
362,11.950,0
365,12.170,0
372,12.114,0
374,12.343,0
379,11.970,0
384,12.143,0
387,11.669,0
391,12.586,0
396,11.829,0
397,11.804,0
400,11.984,0
406,12.114,0
412,12.142,0
414,11.802,0
420,12.664,0
424,11.731,0
430,11.979,0
434,11.751,0
436,12.168,0
437,11.670,0
443,12.020,0
447,12.650,0
452,12.716,0
453,12.396,0
457,12.235,0
458,12.259,0
460,11.957,0
467,12.393,0
471,12.075,0
475,12.879,0
477,12.306,0
479,12.205,0
482,12.727,0
484,12.569,0
488,13.176,0
493,12.761,0
498,12.073,0
503,12.203,0
505,11.934,0
508,11.969,0
11,20.753,0
13,20.118,0
17,23.675,0
18,11.772,0
24,11.676,0
28,12.401,0
34,12.450,0
37,12.367,0
43,12.393,0
46,12.436,0
47,12.386,0
52,12.463,0
59,11.871,0
61,12.112,0
63,11.955,0
64,11.893,0
66,12.152,0
71,11.707,0
73,11.641,0
79,12.001,0
84,12.862,0
87,11.630,0
92,12.773,0
97,12.365,0
98,11.915,0
99,11.665,0
101,11.531,0
105,12.191,0
110,11.591,0
116,12.027,0
120,12.195,0
126,12.441,0
130,13.241,0
132,12.389,0
133,12.501,0
137,12.302,0
138,11.843,0
140,11.960,0
144,11.971,0
149,12.358,0
150,11.847,0
154,11.860,0
157,12.784,0
163,12.161,0
166,11.843,0
170,12.242,0
173,12.192,0
