11,21.517,0
15,14.886,0
19,18.262,0
22,8.561,0
23,8.465,0
29,8.346,0
34,8.336,0
38,8.478,0
43,8.440,0
48,8.424,0
53,8.321,0
58,8.310,0
61,8.378,0
65,8.365,0
69,8.550,0
71,8.468,0
77,8.496,0
81,8.342,0
85,8.586,0
89,8.412,0
94,8.375,0
95,8.494,0
98,8.463,0
100,8.600,0
108,8.539,0
112,8.449,0
114,8.451,0
117,8.358,0
118,8.309,0
119,8.653,0
121,8.504,0
124,8.544,0
125,8.459,0
131,8.489,0
132,8.349,0
134,8.426,0
139,10.287,0
143,8.682,0
146,8.523,0
149,8.497,0
155,8.426,0
158,8.504,0
163,8.529,0
169,8.551,0
174,8.492,0
179,8.459,0
182,8.510,0
186,8.505,0
193,8.541,0
196,8.431,0
197,8.602,0
205,8.443,0
206,8.486,0
212,8.576,0
216,8.630,0
224,8.547,0
229,8.420,0
235,8.619,0
241,8.428,0
246,8.528,0
248,8.741,0
250,8.566,0
255,8.526,0
259,8.549,0
271,8.671,0
274,8.596,0
281,8.672,0
288,8.482,0
291,8.647,0
293,8.632,0
299,8.631,0
303,8.654,0
309,8.495,0
313,8.653,0
314,9.075,0
317,8.539,0
321,8.495,0
323,8.634,0
326,8.670,0
330,8.543,0
331,8.643,0
339,8.623,0
343,8.593,0
346,8.612,0
350,8.517,0
353,8.530,0
358,8.671,0
362,8.573,0
368,8.560,0
374,8.551,0
383,8.618,0
394,8.603,0
411,8.619,0
428,8.543,0
445,8.699,0
455,8.608,0
461,8.595,0
478,8.505,0
495,8.652,0
11,16.270,0
14,8.944,0
16,15.875,0
18,9.532,0
22,21.494,0
23,10.179,0
24,9.752,0
30,10.171,0
35,9.982,0
39,10.652,0
41,9.656,0
45,11.642,0
51,10.846,0
56,9.242,0
57,9.955,0
61,9.781,0
65,9.764,0
67,9.428,0
72,10.062,0
77,9.415,0
79,9.515,0
80,9.771,0
86,9.442,0
89,9.621,0
95,9.477,0
96,9.417,0
98,9.982,0
102,9.330,0
104,9.404,0
108,9.085,0
111,9.445,0
116,9.426,0
121,9.583,0
123,9.375,0
131,9.474,0
140,10.003,0
146,9.395,0
151,9.350,0
157,9.187,0
162,9.250,0
166,9.539,0
167,9.370,0
168,9.603,0
173,9.514,0
177,9.250,0
182,9.404,0
187,9.473,0
190,9.477,0
194,9.602,0
196,9.636,0
198,9.323,0
202,9.358,0
207,9.334,0
209,9.567,0
215,9.347,0
221,9.668,0
224,9.373,0
228,9.633,0
230,9.409,0
235,9.171,0
237,9.401,0
242,9.519,0
248,9.368,0
252,9.499,0
257,9.408,0
262,9.284,0
267,9.721,0
271,9.464,0
277,9.650,0
278,9.531,0
283,9.592,0
288,9.664,0
290,9.448,0
296,9.312,0
298,9.325,0
303,9.705,0
309,9.329,0
313,9.200,0
315,9.247,0
321,9.169,0
324,9.223,0
329,9.308,0
339,9.425,0
340,9.242,0
341,9.623,0
346,9.529,0
351,9.259,0
358,9.625,0
360,9.522,0
366,9.344,0
367,9.428,0
369,9.401,0
373,9.518,0
374,9.435,0
379,9.235,0
383,9.643,0
384,9.296,0
394,9.375,0
398,9.293,0
403,9.403,0
407,9.463,0
411,9.649,0
415,9.596,0
421,9.580,0
426,9.637,0
427,9.482,0
432,9.557,0
437,9.518,0
441,9.368,0
445,9.486,0
447,9.644,0
451,9.564,0
455,9.225,0
457,9.579,0
461,9.498,0
463,9.456,0
470,9.364,0
474,9.547,0
478,9.223,0
482,9.231,0
483,9.378,0
485,9.501,0
488,10.001,0
492,9.558,0
496,9.485,0
499,9.308,0
502,9.607,0
507,9.702,0
11,14.444,0
13,14.472,0
17,14.918,0
24,8.132,0
31,16.105,0
36,8.365,0
40,8.164,0
41,8.178,0
47,16.951,0
49,8.508,0
55,8.954,0
60,8.486,0
62,8.424,0
67,8.543,0
70,8.555,0
74,8.407,0
78,8.428,0
82,8.305,0
87,8.601,0
94,8.494,0
96,8.466,0
99,8.535,0
104,8.310,0
111,8.489,0
114,8.432,0
117,8.469,0
122,8.362,0
125,8.419,0
132,8.377,0
134,8.531,0
137,8.454,0
142,8.570,0
143,8.498,0
148,8.538,0
150,8.507,0
152,8.379,0
155,8.613,0
156,8.603,0
161,8.524,0
166,8.608,0
167,8.537,0
169,8.506,0
175,8.572,0
176,8.619,0
181,8.484,0
187,8.492,0
189,8.574,0
194,8.482,0
200,8.572,0
206,8.590,0
212,8.507,0
216,9.081,0
217,8.699,0
221,8.536,0
228,8.605,0
232,8.634,0
234,8.539,0
239,8.613,0
240,8.601,0
241,8.673,0
243,8.540,0
244,8.545,0
250,8.574,0
254,8.722,0
255,8.654,0
257,8.685,0
262,8.642,0
266,8.647,0
270,8.604,0
275,8.540,0
279,8.635,0
282,8.584,0
287,8.680,0
294,8.728,0
295,8.625,0
296,8.719,0
297,8.719,0
302,8.566,0
306,8.795,0
307,8.569,0
311,8.620,0
318,8.915,0
321,8.553,0
322,8.757,0
328,8.783,0
333,8.601,0
338,8.756,0
340,8.680,0
343,8.670,0
347,8.676,0
349,8.744,0
353,8.737,0
356,8.713,0
360,8.706,0
361,8.662,0
366,8.627,0
373,8.693,0
378,8.644,0
382,9.279,0
391,8.615,0
397,8.800,0
407,8.780,0
409,8.734,0
414,8.757,0
415,8.703,0
419,8.674,0
425,8.756,0
432,8.827,0
442,8.809,0
447,8.779,0
455,8.866,0
465,8.808,0
469,8.838,0
474,8.862,0
479,8.695,0
483,8.812,0
490,8.698,0
495,8.667,0
500,8.816,0
504,8.915,0
505,8.688,0
11,14.484,0
13,14.265,0
17,16.604,0
18,8.537,0
25,8.304,0
28,8.438,0
33,8.382,0
35,8.287,0
36,8.328,0
40,8.535,0
45,8.403,0
49,8.603,0
54,8.525,0
59,8.504,0
62,8.377,0
63,8.463,0
64,8.323,0
66,8.275,0
69,8.323,0
73,8.403,0
77,8.545,0
78,8.316,0
83,8.534,0
86,9.120,0
91,8.411,0
97,8.401,0
101,9.401,0
104,8.414,0
108,8.469,0
110,8.443,0
112,8.580,0
118,8.451,0
123,8.488,0
126,8.397,0
130,8.482,0
133,8.463,0
137,8.517,0
143,8.498,0
146,8.517,0
147,8.496,0
151,8.565,0
155,8.393,0
159,8.442,0
161,8.554,0
165,8.524,0
167,8.589,0
169,8.502,0
170,8.489,0
172,8.479,0
173,8.761,0
175,8.500,0
176,8.515,0
177,8.610,0
178,8.413,0
180,8.499,0
183,8.521,0
186,8.536,0
190,8.542,0
197,8.559,0
202,8.525,0
208,8.539,0
209,8.474,0
213,8.515,0
219,8.736,0
220,9.048,0
226,8.465,0
232,8.617,0
236,8.624,0
238,8.594,0
241,8.686,0
242,8.659,0
248,8.674,0
256,8.580,0
258,8.470,0
260,8.486,0
265,8.585,0
268,8.578,0
273,8.657,0
279,8.596,0
280,8.646,0
282,8.625,0
284,8.559,0
285,8.507,0
290,8.598,0
294,8.706,0
298,8.603,0
301,8.465,0
305,8.707,0
310,8.538,0
313,8.485,0
330,8.787,0
336,8.624,0
339,8.720,0
340,8.825,0
348,8.602,0
349,8.566,0
355,8.639,0
365,8.644,0
370,8.688,0
372,8.630,0
376,8.650,0
381,8.663,0
386,8.690,0
392,8.697,0
399,8.571,0
403,8.568,0
408,8.621,0
413,8.826,0
415,8.606,0
420,8.783,0
428,8.557,0
430,8.591,0
437,8.746,0
439,8.553,0
444,8.637,0
449,8.739,0
454,8.747,0
459,8.751,0
461,8.662,0
470,8.784,0
472,8.787,0
479,8.710,0
484,8.824,0
488,9.235,0
492,8.621,0
501,8.807,0
505,8.676,0
510,8.817,0
11,16.720,0
15,8.508,0
20,8.143,0
36,8.293,0
39,8.353,0
43,8.163,0
47,8.460,0
52,8.210,0
57,8.231,0
64,8.236,0
69,8.266,0
73,8.223,0
74,8.409,0
81,8.242,0
86,8.191,0
89,8.261,0
96,17.075,0
101,8.436,0
103,8.464,0
105,8.413,0
110,8.601,0
116,8.927,0
117,8.456,0
119,8.582,0
123,8.600,0
127,8.492,0
129,8.531,0
132,8.514,0
140,8.486,0
144,8.416,0
148,8.577,0
153,8.446,0
157,8.604,0
158,8.423,0
159,8.548,0
161,8.562,0
166,8.486,0
170,8.480,0
176,8.559,0
179,8.603,0
180,8.571,0
183,8.487,0
186,8.566,0
192,8.465,0
196,8.565,0
203,8.697,0
209,8.695,0
216,8.689,0
220,8.517,0
222,8.638,0
227,8.722,0
233,8.669,0
238,8.662,0
241,8.643,0
245,8.588,0
253,8.641,0
257,8.658,0
267,8.719,0
270,8.521,0
274,8.608,0
279,8.669,0
284,9.210,0
291,8.716,0
296,8.629,0
300,8.522,0
304,8.611,0
309,8.726,0
314,8.592,0
316,8.684,0
320,8.659,0
326,8.778,0
332,8.692,0
338,8.754,0
341,8.645,0
343,8.639,0
348,8.621,0
353,8.733,0
358,8.637,0
362,8.689,0
367,8.508,0
368,8.638,0
373,8.584,0
379,8.676,0
384,8.738,0
387,8.678,0
397,8.642,0
405,8.780,0
410,8.605,0
415,8.846,0
422,8.790,0
425,8.850,0
430,8.639,0
436,8.712,0
438,8.693,0
441,8.748,0
445,8.737,0
450,8.769,0
455,8.784,0
461,8.715,0
466,8.915,0
470,8.881,0
475,8.815,0
477,8.848,0
484,8.906,0
487,8.785,0
489,8.758,0
494,8.714,0
499,8.813,0
