n_past_tgt,decode_time_ms,do_defrag
97,16.471,0
100,9.577,0
104,10.703,0
105,9.824,0
109,10.501,0
111,18.455,0
114,10.839,0
118,11.825,0
120,26.997,0
126,12.478,0
133,10.660,0
142,10.845,0
146,11.653,0
156,10.356,0
158,10.701,0
164,11.721,0
169,10.235,0
173,10.270,0
178,12.314,0
183,12.284,0
190,11.726,0
194,11.487,0
198,10.542,0
201,10.376,0
204,9.930,0
209,10.794,0
214,10.830,0
218,11.577,0
223,11.193,0
227,12.036,0
232,13.256,0
234,12.121,0
238,12.036,0
244,10.776,0
247,10.273,0
249,9.539,0
252,8.958,0
255,9.810,0
257,8.814,0
259,8.672,0
265,10.287,0
266,9.935,0
270,10.853,0
275,12.711,0
280,11.765,0
287,10.264,0
289,10.205,0
294,10.660,0
299,12.202,0
301,10.861,0
309,10.257,0
314,11.674,0
319,12.076,0
323,12.117,0
325,11.581,0
329,10.765,0
336,12.097,0
340,10.544,0
344,11.657,0
345,10.882,0
350,11.709,0
356,10.730,0
357,10.252,0
365,9.598,0
377,8.948,0
385,10.757,0
389,10.367,0
393,10.664,0
395,10.302,0
401,11.184,0
406,11.765,0
411,11.670,0
412,11.239,0
415,10.895,0
416,10.476,0
420,12.043,0
425,11.448,0
427,10.881,0
430,11.878,0
433,11.263,0
440,12.112,0
446,10.772,0
451,11.717,0
456,10.523,0
459,10.443,0
462,11.040,0
463,10.196,0
465,8.754,0
467,9.678,0
468,8.850,0
471,8.587,0
475,10.356,0
477,9.851,0
482,10.395,0
486,12.156,0
487,11.570,0
492,11.650,0
494,10.215,0
498,12.387,0
502,10.847,0
507,10.436,0
511,9.747,0
514,9.520,0
515,9.986,0
521,11.950,0
523,10.845,0
528,11.937,0
534,11.489,0
535,10.918,0
537,10.313,0
541,11.686,0
543,10.381,0
546,9.737,0
551,9.928,0
554,9.533,0
562,11.142,0
565,10.506,0
567,9.797,0
571,10.482,0
574,9.907,0
580,9.596,0
584,9.467,0
590,11.064,0
595,11.853,0
599,11.446,0
603,12.266,0
607,10.567,0
610,10.565,0
618,11.035,0
619,10.563,0
623,11.729,0
627,12.439,0
633,13.161,0
639,12.523,0
644,12.182,0
645,11.706,0
649,9.877,0
658,12.368,0
660,11.097,0
664,10.549,0
667,10.574,0
671,10.642,0
673,10.396,0
675,9.752,0
677,10.729,0
680,9.909,0
681,9.021,0
683,9.146,0
685,9.905,0
691,11.174,0
698,11.901,0
701,11.899,0
706,11.473,0
711,11.517,0
718,12.525,0
724,12.989,0
731,12.204,0
735,12.901,0
739,12.567,0
745,12.404,0
756,11.035,0
763,13.080,0
769,11.784,0
775,12.477,0
781,11.104,0
783,10.449,0
786,9.782,0
792,12.101,0
793,10.989,0
