n_past_tgt,decode_time_ms,do_defrag
97,16.463,0
100,10.179,0
101,9.889,0
102,17.804,0
105,10.322,0
107,10.029,0
110,9.569,0
112,8.706,0
113,8.751,0
114,8.779,0
115,8.461,0
118,9.589,0
123,10.532,0
130,24.446,0
133,11.786,0
137,10.498,0
139,10.135,0
144,10.635,0
148,11.501,0
153,11.457,0
158,12.742,0
160,11.789,0
163,11.432,0
167,12.556,0
171,12.613,0
176,12.625,0
183,13.317,0
186,12.548,0
191,13.214,0
196,11.382,0
197,10.648,0
202,11.523,0
205,10.688,0
209,11.447,0
213,12.066,0
219,10.828,0
221,9.646,0
225,9.207,0
229,10.159,0
231,9.867,0
237,10.331,0
238,9.607,0
243,10.827,0
246,10.286,0
253,9.654,0
254,9.387,0
258,8.782,0
262,8.614,0
265,9.703,0
269,11.530,0
273,11.573,0
278,12.879,0
282,11.508,0
287,10.714,0
291,10.348,0
292,10.326,0
293,10.109,0
298,10.693,0
301,10.509,0
306,11.697,0
311,12.767,0
315,11.992,0
320,12.730,0
324,11.574,0
325,10.626,0
329,12.115,0
332,11.460,0
336,9.553,0
339,9.623,0
342,10.289,0
348,11.648,0
350,11.448,0
360,11.633,0
362,10.543,0
366,11.462,0
370,9.612,0
373,9.326,0
377,10.737,0
394,8.870,0
399,10.737,0
402,10.283,0
408,10.134,0
410,9.579,0
415,10.698,0
423,10.142,0
425,9.701,0
431,12.266,0
436,11.628,0
441,12.890,0
445,12.025,0
449,10.613,0
453,10.664,0
457,12.268,0
462,12.049,0
465,11.664,0
471,12.022,0
474,11.790,0
475,11.530,0
477,11.265,0
478,10.702,0
480,10.232,0
485,8.811,0
486,8.525,0
487,8.879,0
488,8.603,0
492,10.240,0
496,10.439,0
500,9.680,0
503,10.358,0
508,10.801,0
512,10.416,0
514,10.493,0
517,10.108,0
521,10.834,0
526,12.330,0
529,11.554,0
531,10.313,0
535,12.188,0
539,13.010,0
543,11.689,0
549,10.788,0
553,11.840,0
555,10.678,0
559,11.706,0
562,10.415,0
569,12.084,0
573,13.256,0
577,11.602,0
582,12.257,0
585,11.654,0
589,10.841,0
594,11.675,0
598,10.461,0
601,10.106,0
606,10.192,0
609,10.139,0
614,9.730,0
618,10.337,0
622,10.145,0
624,9.728,0
627,10.553,0
628,9.701,0
633,11.794,0
638,10.890,0
641,11.693,0
645,11.638,0
650,11.343,0
654,12.051,0
655,11.489,0
659,12.918,0
660,12.281,0
661,11.854,0
664,10.916,0
666,10.579,0
671,11.794,0
680,11.390,0
684,12.227,0
688,11.734,0
692,12.755,0
696,12.354,0
698,12.065,0
700,11.724,0
706,11.229,0
712,11.511,0
720,10.971,0
728,10.487,0
745,8.831,0
762,8.880,0
779,8.639,0
796,8.877,0
