n_past_tgt,decode_time_ms,do_defrag
97,16.135,0
103,16.856,0
106,17.644,0
111,10.614,0
117,12.235,0
118,10.388,0
122,10.563,0
127,12.406,0
132,11.390,0
135,11.354,0
139,11.157,0
143,10.093,0
146,10.769,0
151,10.059,0
156,9.824,0
162,11.811,0
166,11.406,0
171,11.031,0
175,11.963,0
180,22.479,0
181,12.640,0
184,11.973,0
186,11.516,0
192,12.090,0
197,12.996,0
203,12.161,0
205,11.571,0
212,11.438,0
216,11.527,0
220,11.082,0
224,11.527,0
231,10.768,0
240,11.669,0
244,12.131,0
249,12.581,0
255,11.497,0
259,15.265,0
261,10.740,0
265,10.791,0
271,10.745,0
276,12.734,0
281,11.660,0
284,10.780,0
285,10.201,0
289,10.718,0
293,10.693,0
296,9.784,0
301,8.880,0
309,10.665,0
313,11.719,0
315,10.617,0
316,10.261,0
319,9.651,0
326,10.617,0
330,11.632,0
336,10.709,0
339,10.106,0
341,10.310,0
345,10.324,0
351,11.525,0
353,10.741,0
356,10.572,0
361,9.963,0
365,10.966,0
371,11.741,0
375,10.250,0
382,11.814,0
387,17.784,0
390,11.701,0
391,11.990,0
399,12.255,0
405,14.457,0
411,15.367,0
416,14.145,0
420,13.303,0
422,12.137,0
429,11.183,0
437,12.756,0
445,10.530,0
450,11.641,0
454,10.760,0
456,10.273,0
457,10.474,0
464,10.379,0
476,10.318,0
481,11.612,0
489,8.705,0
495,11.962,0
500,10.326,0
506,12.220,0
513,10.734,0
515,10.317,0
518,8.950,0
522,9.111,0
527,10.970,0
528,10.840,0
533,10.900,0
542,10.637,0
547,12.009,0
554,9.623,0
568,8.836,0
571,8.855,0
573,10.967,0
578,10.962,0
595,8.922,0
604,13.811,0
610,9.626,0
611,9.843,0
625,8.963,0
630,11.886,0
633,10.372,0
636,10.079,0
638,10.318,0
642,10.534,0
648,10.206,0
654,12.224,0
658,12.157,0
662,11.750,0
668,9.603,0
673,10.429,0
675,8.858,0
681,10.913,0
684,10.750,0
689,11.960,0
695,11.427,0
699,12.345,0
703,10.346,0
706,10.638,0
709,10.856,0
713,11.784,0
717,10.360,0
724,11.027,0
730,10.924,0
733,10.599,0
738,11.905,0
741,12.243,0
743,10.355,0
746,9.809,0
747,8.957,0
752,10.859,0
756,11.828,0
760,10.991,0
761,10.651,0
766,10.460,0
768,9.877,0
772,11.022,0
773,10.330,0
779,11.650,0
783,10.975,0
787,11.947,0
792,11.858,0
796,11.288,0
