n_past_tgt,decode_time_ms,do_defrag
97,18.954,0
103,25.688,0
105,9.489,0
107,19.640,0
111,19.140,0
115,9.746,0
117,9.732,0
119,9.783,0
124,27.796,0
129,10.380,0
135,10.058,0
136,9.954,0
140,12.197,0
145,9.586,0
152,9.650,0
159,12.312,0
164,10.000,0
169,9.493,0
177,9.265,0
182,9.962,0
188,9.242,0
195,9.456,0
202,9.394,0
209,9.453,0
219,9.495,0
222,9.311,0
223,9.520,0
230,9.402,0
233,9.437,0
238,9.877,0
242,9.266,0
252,9.176,0
258,9.226,0
263,9.244,0
268,9.383,0
273,9.408,0
277,9.617,0
282,9.491,0
285,10.655,0
288,9.439,0
292,9.606,0
295,9.538,0
299,9.576,0
300,9.482,0
303,9.542,0
311,9.544,0
312,9.317,0
316,9.610,0
320,9.494,0
322,9.462,0
324,9.501,0
329,9.429,0
330,9.457,0
335,9.562,0
340,9.554,0
344,9.636,0
348,9.628,0
353,9.388,0
357,9.609,0
360,9.199,0
364,9.405,0
365,9.455,0
366,9.480,0
375,9.451,0
376,9.560,0
378,9.492,0
379,9.730,0
385,9.583,0
386,9.481,0
388,9.479,0
390,9.597,0
393,9.498,0
397,9.504,0
399,9.514,0
411,9.504,0
412,9.589,0
418,9.665,0
422,10.094,0
425,9.584,0
430,9.605,0
432,9.513,0
437,9.644,0
440,9.453,0
447,9.519,0
451,9.382,0
455,9.757,0
457,9.567,0
463,9.443,0
464,9.751,0
467,9.629,0
468,9.692,0
472,9.445,0
477,9.411,0
479,9.714,0
482,9.283,0
489,9.524,0
490,9.608,0
495,9.533,0
499,9.644,0
502,9.464,0
504,9.635,0
509,9.478,0
513,9.564,0
515,9.556,0
520,9.552,0
524,9.342,0
527,9.689,0
533,9.476,0
539,9.603,0
542,9.619,0
543,9.426,0
547,9.618,0
553,9.492,0
554,9.603,0
558,9.549,0
564,9.606,0
569,9.500,0
573,9.680,0
575,9.349,0
579,9.733,0
583,9.698,0
587,9.725,0
588,9.617,0
592,9.614,0
593,9.658,0
596,9.796,0
597,9.721,0
602,9.558,0
607,9.672,0
612,9.628,0
614,9.771,0
615,9.612,0
620,9.581,0
627,9.675,0
628,9.505,0
635,9.514,0
641,9.471,0
645,9.529,0
651,9.306,0
655,9.475,0
658,9.638,0
662,9.659,0
667,9.549,0
670,9.476,0
672,9.567,0
674,9.548,0
683,9.575,0
687,9.688,0
691,9.432,0
695,9.637,0
696,9.639,0
701,9.613,0
704,9.597,0
706,9.793,0
711,9.655,0
715,9.456,0
720,9.659,0
725,9.609,0
733,9.369,0
737,9.335,0
738,9.592,0
742,9.530,0
746,9.505,0
748,9.596,0
755,9.470,0
759,9.568,0
764,9.748,0
767,9.558,0
773,9.501,0
775,9.783,0
779,9.788,0
786,9.560,0
791,9.706,0
795,9.764,0
